v0,i1,i2,i3
0.0,-0.0,0.0,0.0
0.5,0.004017025166539566,0.0022877914758006267,0.0023122762006252493
1.0,0.008033871451376497,0.004575583091627777,0.004624531047467401
1.5,0.012050808956574623,0.006863374630763204,0.006936796779399518
2.0,0.016067745259608822,0.009151166174406807,0.009249062370678504
2.5,0.020084681574642917,0.01143895771800804,0.011561327963363581
3.0,0.024101617889570416,0.013726749261609652,0.013873593556036174
3.5,0.028118554204498877,0.01601454080521126,0.016185859148708872
4.0,0.03213549051942728,0.01830233234881287,0.01849812474138157
4.5,0.036152426834355655,0.02059012389241448,0.020810390334054265
5.0,0.04016936314928408,0.02287791543601609,0.02312265592672696
5.5,0.04418629946421248,0.0251657069796177,0.025434921519399658
6.0,0.04820323577914091,0.027453498523219308,0.027747187112072354
6.5,0.05222017209406931,0.029741290066820913,0.030059452704745047
7.0,0.05623710840899775,0.03202908161042252,0.032371718297417744
7.5,0.060254044723926134,0.03431687315402413,0.03468398389009044
8.0,0.06427098103885456,0.03660466469762574,0.03699624948276314
8.5,0.06828791735378294,0.03889245624122735,0.03930851507543583
9.0,0.07230485366871131,0.04118024778482896,0.04162078066810853
9.5,0.07632178998363974,0.04346803932843057,0.043933046260781226
10.0,0.08033872629856816,0.04575583087203218,0.04624531185345392
10.5,0.08435566261349658,0.048043622415633785,0.04855757744612662
11.0,0.08837259892842496,0.0503314139592354,0.050869843038799316
11.5,0.09238953524335339,0.052619205502837,0.05318210863147201
12.0,0.09640647155828182,0.054906997046438616,0.05549437422414471
12.5,0.10042340787321029,0.057194788590040214,0.0578066398168174
13.0,0.10444034418813862,0.05948258013364183,0.060118905409490095
13.5,0.10845728050306709,0.06177037167724343,0.06243117100216279
14.0,0.1124742168179955,0.06405816322084504,0.06474343659483549
14.5,0.11649115313292384,0.06634595476444666,0.06705570218750818
15.0,0.12050808944785227,0.06863374630804826,0.06936796778018088
15.5,0.1245250257627807,0.07092153785164987,0.07168023337285358
16.0,0.12854196207770913,0.07320932939525147,0.07399249896552627
16.5,0.13255889839263754,0.0754971209388531,0.07630476455819897
17.0,0.13657583470756587,0.0777849124824547,0.07861703015087167
17.5,0.1405927710224944,0.0800727040260563,0.08092929574354436
18.0,0.14460970733742262,0.08236049556965792,0.08324156133621706
18.5,0.14862664365235115,0.08464828711325953,0.08555382692888976
19.0,0.15264357996727948,0.08693607865686113,0.08786609252156245
19.5,0.156660516282208,0.08922387020046274,0.09017835811423515
20.0,0.1606774525971363,0.09151166174406436,0.09249062370690785
20.5,0.16469438891206475,0.09379945328766597,0.09480288929958054
21.0,0.16871132522699317,0.09608724483126757,0.09711515489225324
21.5,0.17272826154192158,0.09837503637486918,0.09942742048492594
22.0,0.17674519785684992,0.1006628279184708,0.10173968607759863
22.5,0.18076213417177836,0.1029506194620724,0.10405195167027133
